episode,scenario_idx,scenario_sos,scenario_cost,action_mode,reward,steps,done,terminated,truncated,dead_end,makespan,done_ops,epsilon,loss,replay_size
23,0,14,7433,op,-0.17033333333333342,113,True,False,False,True,889.0,113,0.9762739865836303,0.0003321405965834856,2699
24,0,14,7433,op,-0.15566666666666676,115,True,False,False,True,885.0,115,0.9752977125970467,0.0004262394504621625,2814
25,0,14,7433,op,-0.15566666666666676,115,True,False,False,True,892.0,115,0.9743224148844496,0.0005351388244889677,2929
26,0,14,7433,op,-0.1630000000000001,114,True,False,False,True,888.0,114,0.9733480924695651,0.0005339044146239758,3043
27,0,14,7433,op,-0.20700000000000007,108,True,False,False,True,892.0,108,0.9723747443770956,0.000407960033044219,3151
28,0,14,7433,op,0.6645222482681273,120,True,True,False,False,783.0,120,0.9714023696327185,0.0003829362103715539,3271
29,0,14,7433,op,-0.15566666666666676,115,True,False,False,True,890.0,115,0.9704309672630859,0.0007386618526652455,3386
30,0,14,7433,op,-0.19966666666666674,109,True,False,False,True,890.0,109,0.9694605362958227,0.00047970726154744625,3495
31,0,14,7433,op,-0.14833333333333343,116,True,False,False,True,865.0,116,0.9684910757595269,0.0003482393512967974,3611
32,0,14,7433,op,-0.1630000000000001,114,True,False,False,True,895.0,114,0.9675225846837673,0.0006078340229578316,3725
33,0,14,7433,op,0.6335573968887328,120,True,True,False,False,895.0,120,0.9665550620990835,0.0006684433901682496,3845
34,0,14,7433,op,0.642404514312744,120,True,True,False,False,863.0,120,0.9655885070369844,0.0009383439319208264,3965
35,0,14,7433,op,-0.13366666666666677,118,True,False,False,True,898.0,118,0.9646229185299474,0.001006235252134502,4083
36,0,14,7433,op,0.6650752005577086,120,True,True,False,False,781.0,120,0.9636582956114175,0.0004776109126396477,4203
37,0,14,7433,op,-0.15566666666666676,115,True,False,False,True,891.0,115,0.9626946373158061,0.0005883856792934239,4318
38,0,14,7433,op,-0.1630000000000001,114,True,False,False,True,899.0,114,0.9617319426784903,0.0013601075625047088,4432
39,0,14,7433,op,-0.1923333333333334,110,True,False,False,True,898.0,110,0.9607702107358118,0.00031804339960217476,4542
40,0,14,7433,op,-0.1630000000000001,114,True,False,False,True,890.0,114,0.959809440525076,0.0005762080545537174,4656
41,0,14,7433,op,0.6338338432312011,120,True,True,False,False,894.0,120,0.9588496310845509,0.0008817878551781178,4776
42,0,14,7433,op,0.6802811799049376,120,True,True,False,False,726.0,120,0.9578907814534664,0.00044315203558653593,4896
43,0,14,7433,op,-0.1410000000000001,117,True,False,False,True,894.0,117,0.9569328906720129,0.000657087832223624,5013
44,0,14,7433,op,-0.1410000000000001,117,True,False,False,True,889.0,117,0.9559759577813409,0.0006636111065745354,5130
45,0,14,7433,op,0.6341102895736693,120,True,True,False,False,893.0,120,0.9550199818235596,0.0005994579987600446,5250
46,0,14,7433,op,-0.13366666666666677,118,True,False,False,True,890.0,118,0.9540649618417361,0.0008987116161733866,5368
47,0,14,7433,op,-0.13366666666666677,118,True,False,False,True,896.0,118,0.9531108968798944,0.0004711680521722883,5486
48,0,14,7433,op,-0.14833333333333343,116,True,False,False,True,895.0,116,0.9521577859830145,0.0005943182623013854,5602
49,0,14,7433,op,-0.25100000000000006,102,True,False,False,True,899.0,102,0.9512056281970315,0.001537073403596878,5704
50,0,14,7433,op,0.6440633115768432,120,True,True,False,False,857.0,120,0.9502544225688344,0.000656177697237581,5824
51,0,14,7433,op,-0.1923333333333334,110,True,False,False,True,899.0,110,0.9493041681462656,0.0008442021207883954,5934
52,0,14,7433,op,0.6393633065223693,120,True,True,False,False,874.0,120,0.9483548639781193,0.0006679316866211593,6054
53,0,14,7433,op,-0.2363333333333334,104,True,False,False,True,899.0,104,0.9474065091141411,0.0004013937432318926,6158
